GEOID,NAME,B25044_001E,B25044_003E,B25044_010E,prop_of_households_wo_vehicle_access
GEOID,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!Owner occupied:!!No vehicle available,Estimate!!Total:!!Renter occupied:!!No vehicle available,prop_of_households_wo_vehicle_access
36029000110,"Census Tract 1.10, Erie County, New York",980,53,75,0.130612245
36029000200,"Census Tract 2, Erie County, New York",1616,26,357,0.23700495
36029000500,"Census Tract 5, Erie County, New York",881,85,213,0.338251986
36029000600,"Census Tract 6, Erie County, New York",1833,31,54,0.046372068
36029000700,"Census Tract 7, Erie County, New York",1553,109,52,0.103670316
36029000800,"Census Tract 8, Erie County, New York",1786,14,91,0.058790594
36029000900,"Census Tract 9, Erie County, New York",1060,10,107,0.110377358
36029001000,"Census Tract 10, Erie County, New York",2520,36,241,0.109920635
36029001100,"Census Tract 11, Erie County, New York",1547,60,241,0.194570136
36029001403,"Census Tract 14.03, Erie County, New York",1158,17,595,0.528497409
36029001404,"Census Tract 14.04, Erie County, New York",473,9,338,0.733615222
36029001500,"Census Tract 15, Erie County, New York",603,65,170,0.389718076
36029001601,"Census Tract 16.01, Erie County, New York",565,27,248,0.486725664
36029001602,"Census Tract 16.02, Erie County, New York",594,44,260,0.511784512
36029001700,"Census Tract 17, Erie County, New York",848,44,200,0.287735849
36029001900,"Census Tract 19, Erie County, New York",1405,20,118,0.098220641
36029002300,"Census Tract 23, Erie County, New York",1401,70,373,0.316202712
36029002400,"Census Tract 24, Erie County, New York",1609,209,288,0.308887508
36029002502,"Census Tract 25.02, Erie County, New York",1081,58,426,0.44773358
36029002703,"Census Tract 27.03, Erie County, New York",489,14,191,0.419222904
36029002704,"Census Tract 27.04, Erie County, New York",579,20,59,0.136442142
36029002801,"Census Tract 28.01, Erie County, New York",484,26,231,0.530991736
36029002802,"Census Tract 28.02, Erie County, New York",396,27,131,0.398989899
36029002900,"Census Tract 29, Erie County, New York",827,131,191,0.389359129
36029003000,"Census Tract 30, Erie County, New York",969,19,268,0.296181631
36029003100,"Census Tract 31, Erie County, New York",1185,89,509,0.50464135
36029003301,"Census Tract 33.01, Erie County, New York",1670,192,289,0.288023952
36029003302,"Census Tract 33.02, Erie County, New York",1141,82,331,0.36196319
36029003400,"Census Tract 34, Erie County, New York",1295,66,493,0.431660232
36029003501,"Census Tract 35.01, Erie County, New York",679,97,334,0.634756996
36029003502,"Census Tract 35.02, Erie County, New York",736,50,137,0.254076087
36029003600,"Census Tract 36, Erie County, New York",1190,81,290,0.311764706
36029003700,"Census Tract 37, Erie County, New York",1533,72,597,0.436399217
36029003800,"Census Tract 38, Erie County, New York",1124,51,320,0.330071174
36029003901,"Census Tract 39.01, Erie County, New York",507,12,237,0.49112426
36029004002,"Census Tract 40.02, Erie County, New York",579,27,230,0.443868739
36029004003,"Census Tract 40.03, Erie County, New York",1237,56,490,0.441390461
36029004100,"Census Tract 41, Erie County, New York",1732,52,480,0.307159353
36029004200,"Census Tract 42, Erie County, New York",1471,59,457,0.350781781
36029004300,"Census Tract 43, Erie County, New York",2616,56,349,0.154816514
36029004401,"Census Tract 44.01, Erie County, New York",2113,102,400,0.237576905
36029004402,"Census Tract 44.02, Erie County, New York",1213,0,577,0.475680132
36029004500,"Census Tract 45, Erie County, New York",2281,35,211,0.107847435
36029004601,"Census Tract 46.01, Erie County, New York",1246,17,235,0.202247191
36029004701,"Census Tract 47.01, Erie County, New York",881,27,183,0.238365494
36029004702,"Census Tract 47.02, Erie County, New York",1841,20,517,0.291689299
36029004800,"Census Tract 48, Erie County, New York",1575,10,133,0.090793651
36029004901,"Census Tract 49.01, Erie County, New York",860,0,221,0.256976744
36029004902,"Census Tract 49.02, Erie County, New York",1935,27,89,0.05994832
36029005000,"Census Tract 50, Erie County, New York",1140,35,88,0.107894737
36029005100,"Census Tract 51, Erie County, New York",2281,0,356,0.156071898
36029005201,"Census Tract 52.01, Erie County, New York",1400,7,59,0.047142857
36029005202,"Census Tract 52.02, Erie County, New York",752,20,137,0.208776596
36029005300,"Census Tract 53, Erie County, New York",444,7,116,0.277027027
36029005400,"Census Tract 54, Erie County, New York",1898,0,186,0.097997893
36029005500,"Census Tract 55, Erie County, New York",1606,42,532,0.357409714
36029005600,"Census Tract 56, Erie County, New York",1770,80,347,0.241242938
36029005700,"Census Tract 57, Erie County, New York",1102,29,330,0.325771325
36029005801,"Census Tract 58.01, Erie County, New York",1356,122,242,0.268436578
36029005802,"Census Tract 58.02, Erie County, New York",1725,30,441,0.273043478
36029005900,"Census Tract 59, Erie County, New York",1843,71,640,0.385784048
36029006100,"Census Tract 61, Erie County, New York",1684,136,392,0.313539192
36029006301,"Census Tract 63.01, Erie County, New York",2012,34,336,0.18389662
36029006302,"Census Tract 63.02, Erie County, New York",1127,0,53,0.047027507
36029006501,"Census Tract 65.01, Erie County, New York",1393,10,206,0.155061019
36029006601,"Census Tract 66.01, Erie County, New York",1136,27,139,0.146126761
36029006602,"Census Tract 66.02, Erie County, New York",1296,6,187,0.148919753
36029006701,"Census Tract 67.01, Erie County, New York",1607,0,433,0.269446173
36029006702,"Census Tract 67.02, Erie County, New York",2116,0,773,0.365311909
36029006801,"Census Tract 68.01, Erie County, New York",696,0,58,0.083333333
36029006802,"Census Tract 68.02, Erie County, New York",1312,29,335,0.277439024
36029006901,"Census Tract 69.01, Erie County, New York",1469,18,502,0.353982301
36029006903,"Census Tract 69.03, Erie County, New York",748,9,135,0.192513369
36029006904,"Census Tract 69.04, Erie County, New York",967,9,299,0.318510858
36029007000,"Census Tract 70, Erie County, New York",1099,27,399,0.387625114
36029007102,"Census Tract 71.02, Erie County, New York",1094,0,499,0.456124314
36029007103,"Census Tract 71.03, Erie County, New York",660,0,292,0.442424242
36029007104,"Census Tract 71.04, Erie County, New York",1174,9,451,0.391822828
36029007202,"Census Tract 72.02, Erie County, New York",997,15,184,0.199598796
36029007303,"Census Tract 73.03, Erie County, New York",2995,45,53,0.032721202
36029007304,"Census Tract 73.04, Erie County, New York",2421,0,12,0.004956629
36029007305,"Census Tract 73.05, Erie County, New York",1012,17,0,0.016798419
36029007306,"Census Tract 73.06, Erie County, New York",2369,10,0,0.00422119
36029007600,"Census Tract 76, Erie County, New York",1375,68,27,0.069090909
36029007700,"Census Tract 77, Erie County, New York",2183,0,128,0.058634906
36029007800,"Census Tract 78, Erie County, New York",2214,58,95,0.069105691
36029007901,"Census Tract 79.01, Erie County, New York",1453,8,10,0.012388162
36029007902,"Census Tract 79.02, Erie County, New York",2966,76,11,0.029332434
36029007903,"Census Tract 79.03, Erie County, New York",1401,45,0,0.032119914
36029007904,"Census Tract 79.04, Erie County, New York",1350,32,50,0.060740741
36029007905,"Census Tract 79.05, Erie County, New York",2019,16,20,0.017830609
36029008001,"Census Tract 80.01, Erie County, New York",2128,83,105,0.088345865
36029008002,"Census Tract 80.02, Erie County, New York",2532,58,72,0.051342812
36029008003,"Census Tract 80.03, Erie County, New York",2344,0,86,0.03668942
36029008101,"Census Tract 81.01, Erie County, New York",2960,73,200,0.09222973
36029008102,"Census Tract 81.02, Erie County, New York",2049,9,210,0.106881406
36029008201,"Census Tract 82.01, Erie County, New York",1259,10,47,0.045274027
36029008202,"Census Tract 82.02, Erie County, New York",1780,47,236,0.158988764
36029008300,"Census Tract 83, Erie County, New York",913,45,307,0.385542169
36029008400,"Census Tract 84, Erie County, New York",977,17,25,0.042988741
36029008500,"Census Tract 85, Erie County, New York",1228,26,151,0.144136808
36029008600,"Census Tract 86, Erie County, New York",2050,50,325,0.182926829
36029008700,"Census Tract 87, Erie County, New York",2151,36,123,0.073919107
36029008800,"Census Tract 88, Erie County, New York",1823,65,32,0.053208996
36029008900,"Census Tract 89, Erie County, New York",1790,48,44,0.051396648
36029009004,"Census Tract 90.04, Erie County, New York",1591,62,33,0.059710874
36029009007,"Census Tract 90.07, Erie County, New York",2754,46,0,0.016702977
36029009008,"Census Tract 90.08, Erie County, New York",2464,290,444,0.29788961
36029009009,"Census Tract 90.09, Erie County, New York",2275,45,56,0.044395604
36029009010,"Census Tract 90.10, Erie County, New York",2234,0,97,0.043419875
36029009011,"Census Tract 90.11, Erie County, New York",1147,69,82,0.131647777
36029009012,"Census Tract 90.12, Erie County, New York",1942,22,67,0.045829042
36029009104,"Census Tract 91.04, Erie County, New York",1873,93,0,0.049652963
36029009106,"Census Tract 91.06, Erie County, New York",1322,0,0,0
36029009107,"Census Tract 91.07, Erie County, New York",2167,62,135,0.090909091
36029009109,"Census Tract 91.09, Erie County, New York",1244,91,78,0.13585209
36029009110,"Census Tract 91.10, Erie County, New York",6,0,0,0
36029009112,"Census Tract 91.12, Erie County, New York",1477,30,529,0.378469871
36029009113,"Census Tract 91.13, Erie County, New York",2625,0,0,0
36029009114,"Census Tract 91.14, Erie County, New York",1518,48,33,0.053359684
36029009115,"Census Tract 91.15, Erie County, New York",1972,71,228,0.151622718
36029009116,"Census Tract 91.16, Erie County, New York",2257,16,135,0.066902969
36029009200,"Census Tract 92, Erie County, New York",2217,36,179,0.096977898
36029009301,"Census Tract 93.01, Erie County, New York",2414,42,427,0.194283347
36029009302,"Census Tract 93.02, Erie County, New York",1252,60,17,0.061501597
36029009401,"Census Tract 94.01, Erie County, New York",2280,0,67,0.029385965
36029009402,"Census Tract 94.02, Erie County, New York",1932,51,9,0.031055901
36029009501,"Census Tract 95.01, Erie County, New York",2052,19,84,0.050194932
36029009503,"Census Tract 95.03, Erie County, New York",996,32,25,0.057228916
36029009504,"Census Tract 95.04, Erie County, New York",2031,9,161,0.08370261
36029009601,"Census Tract 96.01, Erie County, New York",724,0,62,0.085635359
36029009602,"Census Tract 96.02, Erie County, New York",2372,33,313,0.145868465
36029009701,"Census Tract 97.01, Erie County, New York",1299,28,19,0.036181678
36029009702,"Census Tract 97.02, Erie County, New York",1783,87,43,0.072910824
36029009800,"Census Tract 98, Erie County, New York",763,36,25,0.079947575
36029009900,"Census Tract 99, Erie County, New York",1606,31,148,0.111457036
36029010001,"Census Tract 100.01, Erie County, New York",1523,18,46,0.042022324
36029010002,"Census Tract 100.02, Erie County, New York",2248,123,141,0.117437722
36029010003,"Census Tract 100.03, Erie County, New York",1527,43,126,0.110674525
36029010101,"Census Tract 101.01, Erie County, New York",2043,67,0,0.032794909
36029010102,"Census Tract 101.02, Erie County, New York",1966,22,240,0.133265514
36029010103,"Census Tract 101.03, Erie County, New York",1886,61,11,0.038176034
36029010201,"Census Tract 102.01, Erie County, New York",1129,11,81,0.081488043
36029010202,"Census Tract 102.02, Erie County, New York",1399,102,203,0.218012866
36029010300,"Census Tract 103, Erie County, New York",541,5,54,0.109057301
36029010400,"Census Tract 104, Erie County, New York",854,28,20,0.056206089
36029010500,"Census Tract 105, Erie County, New York",1085,53,39,0.084792627
36029010600,"Census Tract 106, Erie County, New York",1005,0,17,0.016915423
36029010700,"Census Tract 107, Erie County, New York",1131,42,25,0.059239611
36029010803,"Census Tract 108.03, Erie County, New York",777,9,49,0.074646075
36029010804,"Census Tract 108.04, Erie County, New York",1876,44,153,0.105010661
36029010805,"Census Tract 108.05, Erie County, New York",2023,63,0,0.031141869
36029010807,"Census Tract 108.07, Erie County, New York",2183,66,103,0.077416399
36029010808,"Census Tract 108.08, Erie County, New York",1750,27,212,0.136571429
36029010809,"Census Tract 108.09, Erie County, New York",1225,49,19,0.055510204
36029010901,"Census Tract 109.01, Erie County, New York",1035,49,45,0.090821256
36029010902,"Census Tract 109.02, Erie County, New York",2300,44,324,0.16
36029011000,"Census Tract 110, Erie County, New York",804,77,19,0.119402985
36029011100,"Census Tract 111, Erie County, New York",907,26,34,0.06615215
36029011201,"Census Tract 112.01, Erie County, New York",748,0,20,0.026737968
36029011202,"Census Tract 112.02, Erie County, New York",2325,43,172,0.092473118
36029011300,"Census Tract 113, Erie County, New York",2221,83,131,0.096352994
36029011400,"Census Tract 114, Erie County, New York",1129,70,215,0.252435784
36029011500,"Census Tract 115, Erie County, New York",665,112,31,0.215037594
36029011600,"Census Tract 116, Erie County, New York",967,22,23,0.046535677
36029011700,"Census Tract 117, Erie County, New York",1874,41,159,0.106723586
36029011800,"Census Tract 118, Erie County, New York",1596,13,53,0.041353383
36029012001,"Census Tract 120.01, Erie County, New York",1895,46,11,0.030079156
36029012002,"Census Tract 120.02, Erie County, New York",1513,0,25,0.016523463
36029012003,"Census Tract 120.03, Erie County, New York",2105,10,11,0.009976247
36029012300,"Census Tract 123, Erie County, New York",1456,24,362,0.26510989
36029012400,"Census Tract 124, Erie County, New York",837,118,175,0.350059737
36029012501,"Census Tract 125.01, Erie County, New York",1931,33,217,0.129466598
36029012502,"Census Tract 125.02, Erie County, New York",813,18,32,0.061500615
36029012800,"Census Tract 128, Erie County, New York",1301,19,131,0.115295926
36029012902,"Census Tract 129.02, Erie County, New York",1885,18,114,0.070026525
36029012903,"Census Tract 129.03, Erie County, New York",1395,0,73,0.052329749
36029012904,"Census Tract 129.04, Erie County, New York",1871,11,54,0.03474078
36029013001,"Census Tract 130.01, Erie County, New York",1474,25,59,0.056987788
36029013002,"Census Tract 130.02, Erie County, New York",2526,39,111,0.059382423
36029013101,"Census Tract 131.01, Erie County, New York",2917,54,25,0.027082619
36029013103,"Census Tract 131.03, Erie County, New York",1451,0,0,0
36029013104,"Census Tract 131.04, Erie County, New York",1753,8,0,0.004563605
36029013201,"Census Tract 132.01, Erie County, New York",2521,61,39,0.039666799
36029013202,"Census Tract 132.02, Erie County, New York",2152,9,8,0.007899628
36029013300,"Census Tract 133, Erie County, New York",1569,12,98,0.070108349
36029013400,"Census Tract 134, Erie County, New York",2796,5,55,0.021459227
36029013501,"Census Tract 135.01, Erie County, New York",2849,23,158,0.063531064
36029013502,"Census Tract 135.02, Erie County, New York",2658,21,0,0.007900677
36029013600,"Census Tract 136, Erie County, New York",1296,0,18,0.013888889
36029013701,"Census Tract 137.01, Erie County, New York",2943,50,199,0.084607543
36029013702,"Census Tract 137.02, Erie County, New York",2507,60,135,0.07778221
36029013801,"Census Tract 138.01, Erie County, New York",889,0,60,0.067491564
36029013802,"Census Tract 138.02, Erie County, New York",2197,74,82,0.071005917
36029013900,"Census Tract 139, Erie County, New York",973,10,16,0.02672148
36029014000,"Census Tract 140, Erie County, New York",1449,0,58,0.040027605
36029014101,"Census Tract 141.01, Erie County, New York",2598,88,171,0.099692071
36029014102,"Census Tract 141.02, Erie County, New York",2200,38,40,0.035454545
36029014204,"Census Tract 142.04, Erie County, New York",1873,16,101,0.062466631
36029014206,"Census Tract 142.06, Erie County, New York",2669,13,0,0.004870738
36029014207,"Census Tract 142.07, Erie County, New York",2253,12,48,0.026631158
36029014208,"Census Tract 142.08, Erie County, New York",2474,67,20,0.035165724
36029014209,"Census Tract 142.09, Erie County, New York",1826,17,27,0.024096386
36029014300,"Census Tract 143, Erie County, New York",2804,90,127,0.077389444
36029014400,"Census Tract 144, Erie County, New York",2209,0,146,0.066093255
36029014501,"Census Tract 145.01, Erie County, New York",1706,34,0,0.01992966
36029014502,"Census Tract 145.02, Erie County, New York",1060,8,81,0.083962264
36029014601,"Census Tract 146.01, Erie County, New York",2326,0,49,0.021066208
36029014603,"Census Tract 146.03, Erie County, New York",1689,122,0,0.07223209
36029014605,"Census Tract 146.05, Erie County, New York",1480,24,113,0.092567568
36029014606,"Census Tract 146.06, Erie County, New York",1645,0,55,0.03343465
36029014701,"Census Tract 147.01, Erie County, New York",2048,49,0,0.023925781
36029014703,"Census Tract 147.03, Erie County, New York",1641,0,0,0
36029014704,"Census Tract 147.04, Erie County, New York",1885,41,96,0.072679045
36029014801,"Census Tract 148.01, Erie County, New York",1108,5,119,0.111913357
36029014804,"Census Tract 148.04, Erie County, New York",1701,12,35,0.027630805
36029014805,"Census Tract 148.05, Erie County, New York",913,0,0,0
36029014901,"Census Tract 149.01, Erie County, New York",1112,51,25,0.068345324
36029014903,"Census Tract 149.03, Erie County, New York",2130,34,0,0.015962441
36029015001,"Census Tract 150.01, Erie County, New York",2149,54,0,0.025127966
36029015002,"Census Tract 150.02, Erie County, New York",1274,25,0,0.019623234
36029015003,"Census Tract 150.03, Erie County, New York",1471,47,56,0.070020394
36029015101,"Census Tract 151.01, Erie County, New York",1328,9,9,0.013554217
36029015102,"Census Tract 151.02, Erie County, New York",1102,11,6,0.015426497
36029015201,"Census Tract 152.01, Erie County, New York",1588,104,17,0.076196474
36029015202,"Census Tract 152.02, Erie County, New York",2315,0,0,0
36029015301,"Census Tract 153.01, Erie County, New York",1869,31,86,0.062600321
36029015302,"Census Tract 153.02, Erie County, New York",1302,17,55,0.055299539
36029015401,"Census Tract 154.01, Erie County, New York",1192,15,39,0.045302013
36029015402,"Census Tract 154.02, Erie County, New York",1846,51,78,0.069880823
36029015501,"Census Tract 155.01, Erie County, New York",1034,9,23,0.030947776
36029015503,"Census Tract 155.03, Erie County, New York",1073,21,40,0.056849953
36029015504,"Census Tract 155.04, Erie County, New York",1563,61,13,0.04734485
36029015600,"Census Tract 156, Erie County, New York",872,27,21,0.055045872
36029015700,"Census Tract 157, Erie County, New York",1377,3,30,0.023965142
36029015800,"Census Tract 158, Erie County, New York",1799,176,7,0.10172318
36029015900,"Census Tract 159, Erie County, New York",1797,28,283,0.173066221
36029016200,"Census Tract 162, Erie County, New York",939,20,110,0.138445154
36029016300,"Census Tract 163, Erie County, New York",734,71,115,0.253405995
36029016400,"Census Tract 164, Erie County, New York",1431,35,464,0.348707198
36029016500,"Census Tract 165, Erie County, New York",833,9,130,0.166866747
36029016600,"Census Tract 166, Erie County, New York",1142,58,446,0.441330998
36029016700,"Census Tract 167, Erie County, New York",1152,47,252,0.259548611
36029016801,"Census Tract 168.01, Erie County, New York",988,291,219,0.516194332
36029016802,"Census Tract 168.02, Erie County, New York",682,40,149,0.2771261
36029016900,"Census Tract 169, Erie County, New York",1582,18,98,0.073324905
36029017000,"Census Tract 170, Erie County, New York",1248,157,211,0.294871795
36029017100,"Census Tract 171, Erie County, New York",1281,79,249,0.256049961
36029017200,"Census Tract 172, Erie County, New York",1028,14,164,0.173151751
36029017301,"Census Tract 173.01, Erie County, New York",1168,80,17,0.083047945
36029017302,"Census Tract 173.02, Erie County, New York",1851,58,14,0.038897893
36029017400,"Census Tract 174, Erie County, New York",1467,24,301,0.221540559
36029017501,"Census Tract 175.01, Erie County, New York",618,16,73,0.144012945
36029017502,"Census Tract 175.02, Erie County, New York",844,17,11,0.033175355
36029940000,"Census Tract 9400, Erie County, New York",784,39,70,0.139030612
36029940100,"Census Tract 9401, Erie County, New York",3,0,0,0
36029980000,"Census Tract 9800, Erie County, New York",0,0,0,0
36029980300,"Census Tract 9803, Erie County, New York",16,0,0,0
36029980400,"Census Tract 9804, Erie County, New York",0,0,0,0
36029980500,"Census Tract 9805, Erie County, New York",22,0,0,0
36029990000,"Census Tract 9900, Erie County, New York",0,0,0,0
